episode,reward
0,-0.19000000000000017
1,-2.669999999999993
2,-20.80000000000007
3,-22.780000000000037
4,-8.529999999999989
5,-5.509999999999994
6,-11.889999999999981
7,-18.53000000000001
8,-9.48999999999999
9,-23.77000000000006
10,-22.780000000000033
11,-13.649999999999986
12,-21.790000000000042
13,-11.669999999999987
14,-10.56999999999999
15,-33.67000000000004
16,-17.829999999999988
17,-4.309999999999994
18,-14.709999999999987
19,-13.869999999999981
20,-7.929999999999981
21,-7.289999999999996
22,-15.849999999999982
23,-13.869999999999981
24,-12.879999999999981
25,-8.91999999999998
26,-16.840000000000003
27,-4.509999999999992
28,-14.859999999999982
29,-14.859999999999987
30,-16.83999999999999
31,-5.9499999999999815
32,-17.830000000000013
33,-10.899999999999986
34,-6.2099999999999955
35,-3.9699999999999847
36,-1.089999999999998
37,-4.959999999999981
38,-10.899999999999988
39,-8.919999999999984
40,-10.899999999999986
41,-9.90999999999999
42,-11.889999999999981
43,-5.9499999999999815
44,-8.91999999999999
45,-8.91999999999998
46,-7.929999999999987
47,-10.899999999999986
48,-4.959999999999993
49,-5.949999999999995
50,-7.929999999999987
51,-8.919999999999982
52,-4.959999999999986
53,-3.9699999999999815
54,-4.729999999999984
55,-9.909999999999982
56,-11.88999999999999
57,-4.9599999999999875
58,-5.949999999999987
59,-10.899999999999983
60,0.9299999999999999
61,-0.5900000000000003
62,-5.949999999999991
63,-6.939999999999983
64,-4.95999999999999
65,-2.979999999999997
66,-5.949999999999997
67,-5.949999999999991
68,-2.9799999999999995
69,-8.91999999999998
70,-8.919999999999982
71,-2.98
72,-5.9499999999999815
73,-1.7299999999999978
74,-5.949999999999995
75,-8.919999999999982
76,-1.9900000000000007
77,-5.9499999999999815
78,-6.939999999999993
79,-0.31000000000000005
80,-3.1099999999999977
81,-4.629999999999991
82,0.87
83,-1.1499999999999995
84,-0.25
85,0.7899999999999999
86,-0.07000000000000006
87,-3.2499999999999947
88,-2.149999999999997
89,-0.15000000000000013
90,-4.249999999999996
91,-0.15000000000000013
92,0.9299999999999999
93,0.83
94,-0.1100000000000001
95,0.89
96,-0.19000000000000017
97,-0.13000000000000012
98,0.9299999999999999
99,0.91
100,0.85
101,-1.17
102,-0.09000000000000008
103,0.89
104,0.91
105,0.89
106,-2.169999999999997
107,-0.2100000000000002
108,-2.1299999999999972
109,-0.13000000000000012
110,-1.329999999999997
111,-1.3899999999999988
112,0.9299999999999999
113,0.83
114,0.89
115,-5.269999999999994
116,0.91
117,0.4099999999999997
118,0.89
119,0.9299999999999999
120,-2.54999999999999
121,0.85
122,0.9299999999999999
123,-0.07000000000000006
124,0.7699999999999999
125,0.75
126,-0.10999999999999988
127,-0.09000000000000008
128,0.91
129,-0.2100000000000002
130,0.9299999999999999
131,-0.07000000000000006
132,0.9299999999999999
133,0.91
134,-0.2300000000000002
135,-0.09000000000000008
136,0.89
137,-0.09000000000000008
138,-0.09000000000000008
139,-1.5300000000000002
140,-0.1100000000000001
141,-0.07000000000000006
142,0.9299999999999999
143,0.6299999999999999
144,-0.1100000000000001
145,-0.07000000000000006
146,0.8099999999999999
147,-0.17000000000000015
148,0.9299999999999999
149,0.91
150,-0.09000000000000008
151,0.9299999999999999
152,0.6099999999999999
153,0.9299999999999999
154,0.9299999999999999
155,0.9299999999999999
156,-0.09000000000000008
157,-2.5499999999999936
158,0.9299999999999999
159,0.87
160,0.5099999999999998
161,-0.07000000000000006
162,0.9299999999999999
163,-1.5699999999999967
164,0.7899999999999999
165,0.9299999999999999
166,0.91
167,-0.15000000000000013
168,-0.09000000000000008
169,0.87
170,-0.09000000000000008
171,0.5099999999999998
172,-0.13000000000000012
173,0.9299999999999999
174,0.9299999999999999
175,0.71
176,-0.2500000000000002
177,0.9299999999999999
178,0.91
179,0.6299999999999999
180,0.9299999999999999
181,0.9299999999999999
182,-1.109999999999998
183,0.9299999999999999
184,-0.29000000000000004
185,0.91
186,0.91
187,0.9299999999999999
188,0.6699999999999999
189,0.9299999999999999
190,-0.07000000000000006
191,0.91
192,0.5499999999999998
193,0.89
194,0.9299999999999999
195,0.9299999999999999
196,-0.07000000000000006
197,0.9299999999999999
198,0.75
199,0.9299999999999999
